日期,活动时间计数,热量（千卡）,距离（米）,心肺强化分数,心肺强化时长（分钟）,最低纬度（度）,最低经度（度）,最高纬度（度）,最高经度（度）,平均速度（米/秒）,最高速度（米/秒）,最低速度（米/秒）,步数,平均体重（公斤）,最高体重（公斤）,最低体重（公斤）,骑车时长（毫秒）,步行时长（毫秒）,跑步时长（毫秒）
2022-01-19,29,1568.2824113697754,1026.0301494598389,,,,,,,0.4277480574051808,0.6948755383491516,0.2779732346534729,1849,,,,,1017154,
2022-01-20,15,1557.2754002475722,575.3247377872467,1.0,1,,,,,0.34059662991894424,1.4285306930541992,0.3088591396808624,1015,,,,,818231,
2022-01-21,21,1546.8709507931324,921.6110515594482,1.0,1,,,,,1.6956027205529527,7.354629993438721,0.26663661003112793,1551,,,,,630199,
2022-01-22,3,1524.5930831759715,123.14553833007812,,,,,,,0.3439056410320334,1.1061956882476807,0.3088591396808624,315,,,,,227587,
2022-01-23,,1511.9999842987281,,,,,,,,,,,23,,,,,,
2022-01-24,12,1555.0564400859398,419.43074798583984,,,,,,,0.4114252231285953,0.7978901863098145,0.3088591396808624,709,,,,,778130,
2022-01-25,9,1521.4326761924046,287.2390275001526,,,,,,,0.7580827398680572,6.6039252281188965,0.2573826313018799,672,,,,,170471,
2022-01-26,11,1517.4622817327206,417.57759857177734,,,,,,,0.9595437985055727,9.277438163757324,0.24966812133789062,946,,,,,98717,
2022-01-27,19,1527.74625184695,662.5528774261475,,,,,,,1.0797755282088037,10.789334297180176,0.2779732346534729,1200,,,,,284573,
2022-01-28,11,1526.9426363517684,469.44148445129395,2.0,2,,,,,2.274273782562177,6.124478340148926,0.2580212354660034,780,,,,,270049,
2022-01-29,9,1511.999931137147,361.03382682800293,,,,,,,0.3140623009475083,1.1636216640472412,0.2676779329776764,713,,,,,,
2022-01-30,16,1531.8572180784508,519.2482032775879,,,,,,,0.320386063765763,0.9217172265052795,0.2779732346534729,877,,,,,358866,
2022-01-31,26,1526.8257365511458,915.0007786750793,,,,,,,0.4260470798883993,1.2042207717895508,0.2573826313018799,1766,,,,,267936,
2022-02-01,12,1530.0906341225395,424.2015075683594,,,,,,,0.3477439651490921,1.1072838306427002,0.2676779329776764,916,,,,,326939,
2022-02-02,4,1511.9999028322027,150.10555839538574,,,,,,,0.32737438259866347,0.6539495587348938,0.2676779329776764,328,,,,,,
2022-02-03,4,1511.9999078193825,141.4443588256836,,,,,,,0.38492495139495786,1.0593693256378174,0.2573826313018799,322,,,,,,
2022-02-04,5,1511.9999864109118,158.75361442565918,,,,,,,0.3328256574797403,0.44518038630485535,0.2573826313018799,257,,,,,,
2022-02-05,31,1567.4161175952227,1206.812080025673,1.0,1,,,,,0.9522249515801401,13.03010368347168,0.2573826313018799,2108,,,,,1001498,
2022-02-06,27,1528.0387640824588,1084.3295669555664,,,,,,,0.7307267095647124,13.300936698913574,0.2573826313018799,1827,,,,,289857,
2022-02-07,6,1522.9919044900457,192.7062931060791,,,,,,,0.5782301125541864,1.2892309427261353,0.3088591396808624,358,,,,,198650,
2022-02-08,27,1577.5403550067801,901.9341673851013,,,,,,,0.850641931441545,1.8849360942840576,0.2573826313018799,1661,,,,,1184467,
2022-02-09,6,1513.6695238730824,208.788800239563,,,,,,,2.727938255970689,19.66748046875,0.2676779329776764,506,,,,,30172,
2022-02-10,5,1519.680595314452,201.993896484375,,,,,,,0.35904699962493913,0.764971911907196,0.3088591396808624,399,,,,,138806,
2022-02-11,18,1579.5703022972202,715.5044775009155,,,,,,,0.33778735004212795,1.1945693492889404,0.3059232831001282,1187,,,,,1221151,
2022-02-12,,1511.9999908053323,,,,,,,,,,,23,,,,,,
2022-02-13,10,1517.1413455178379,340.98052406311035,,,,,,,0.8012297147611263,6.049345970153809,0.2967560589313507,579,,,,,92917,
2022-02-14,2,1511.9998942054385,119.83735847473145,,,,,,,0.30574745823505084,0.31502166390419006,0.2985638380050659,303,,,,,,
2022-02-15,9,1525.0658638924292,351.6079788208008,,,,,,,0.38622894446715933,1.0249438285827637,0.2573826313018799,771,,,,,236131,
2022-02-16,2,1511.9999866858657,104.39439964294434,,,,,,,0.36977817118167877,0.4306972026824951,0.3088591396808624,250,,,,,,
2022-02-17,42,1607.6857542264706,1488.1143091917038,15.0,13,,,,,0.3833553387514947,2.9646682739257812,0.2573826313018799,2420,,,,622172,1063988,
2022-02-18,20,1515.5870215693635,806.065432548523,,,,,,,3.166888250852438,19.21509552001953,0.27318575978279114,1377,,,,,64827,
2022-02-19,15,1545.0153279409099,474.3440103530884,,,,,,,3.770287017442216,10.998069763183594,0.3088591694831848,873,,,,,596662,
2022-02-20,66,1665.295068649886,2858.223510503769,11.0,9,,,,,3.3447767958573866,17.362382888793945,0.2573826313018799,4405,,,,,2770392,
2022-02-21,19,1524.8493655245043,620.1432809829712,,,,,,,5.796810726700883,14.808558464050293,0.2882685363292694,1109,,,,,232218,
2022-02-22,42,1536.7686655225377,1391.2823114395142,,,,,,,0.6584295144789104,9.731338500976562,0.2573826313018799,2481,,,,,447626,
2022-02-23,40,1569.5217046330713,1492.840262889862,2.0,2,,,,,0.9012785810095951,12.136120796203613,0.26695388555526733,2444,,,,,1033062,
2022-02-24,,1511.9999880254986,,,,,,,,,,,30,,,,,,
2022-02-25,62,1706.4922642156002,1223.139142036438,35.0,34,,,,,0.6607732393310239,3.939373016357422,0.2985638380050659,2043,,,,2018898,1356161,
2022-02-26,64,1705.022503496855,623.2324075698853,47.0,47,,,,,0.9805643593301658,2.626845121383667,0.3088591396808624,1001,,,,3035389,242022,
2022-02-27,3,1515.0756492396397,101.92352867126465,,,,,,,9.741055751623,21.84566879272461,0.3088591396808624,281,,,,,55586,
2022-02-28,52,1616.1362690477272,2399.438126564026,8.0,6,,,,,6.380331927587944,19.244295120239258,0.2779732346534729,3783,,,,,1881983,
2022-03-01,18,1514.8807048804817,662.3621740341187,2.0,1,,,,,0.522164613220166,4.115408897399902,0.30388015508651733,1021,,,,,52063,
2022-03-02,3,1511.9999260624825,102.54124307632446,,,,,,,4.459353664466603,10.60533618927002,0.3088591396808624,276,,,,,,
2022-03-03,43,1644.5590581992637,1614.2049732208252,2.0,2,,,,,0.6436873553274791,7.901366233825684,0.25193941593170166,2717,,,,,2395648,
2022-03-04,12,1511.999910084941,519.3127317428589,,,,,,,0.5046896672134618,4.45150089263916,0.2573826313018799,1035,,,,,,
2022-03-05,21,1511.999996532214,896.6347217559814,,,,,,,0.49012059820238696,1.0342888832092285,0.2882685363292694,1460,,,,,,
2022-03-06,18,1537.2693679186732,836.8477325439453,1.0,1,,,,,0.6840109623979908,1.194819450378418,0.3088591396808624,1438,,,,,456676,
2022-03-07,6,1511.9999868790783,193.34584045410156,,,,,,,0.45720499436463885,0.6076828837394714,0.3088591396808624,398,,,,,,
2022-03-08,14,1529.6129765231403,489.23292207717896,,,,,,,0.8514206307666407,3.6171209812164307,0.27150580286979675,876,,,,,318308,
2022-03-09,2,1511.9999217118504,57.447805404663086,,,,,,,0.3076332285059051,0.3088591694831848,0.2985638380050659,242,,,,,,
2022-03-10,18,1532.7622131289836,546.6807265281677,,,,,,,0.3327435216043828,0.6650693416595459,0.2882685363292694,1000,,,,,375221,
2022-03-11,30,1511.9999845380817,964.9467945098877,,,,,,,0.35488404786546623,0.8732399940490723,0.2573826313018799,1704,,,,,,
2022-03-12,,1511.9999827970419,,,,,,,,,,,170,,,,,,
2022-03-13,,1511.9999646249169,37.063100814819336,,,,,,,0.28312090039253235,0.3088591694831848,0.2573826313018799,126,,,,,,
2022-03-14,13,1518.5362202826568,537.3560047149658,4.0,4,,,,,0.6950761804935488,1.112670660018921,0.3088591396808624,897,,,,110471,,
2022-03-15,,1511.9999162143918,20.38470458984375,,,,,,,0.3088591694831848,0.3088591694831848,0.3088591694831848,248,,,,,,
2022-03-16,27,1554.2399380984268,594.2450399398804,11.0,11,,,,,0.32532260076862807,0.7868659496307373,0.2573826313018799,1084,,,,713916,,
2022-03-17,8,1511.9998965408781,311.3420829772949,,,,,,,0.5637484104998566,2.517261505126953,0.2779732346534729,596,,,,,,
2022-03-18,3,1511.9999585906567,96.36406135559082,,,,,,,0.6679810699595202,4.921959400177002,0.2676779329776764,339,,,,,,
2022-03-19,2,1511.999926945932,132.80944442749023,,,,,,,0.2903388435836448,0.7869391441345215,0.2676779329776764,559,,,,,,
2022-03-20,3,1526.1796901675812,153.8118667602539,,,,,,,0.2899374047569974,0.3088591694831848,0.2573826313018799,417,,,,,256261,
2022-03-21,,1511.99988939865,,,,,,,,,,,13,,,,,,
2022-03-22,74,1695.276988698764,2444.0564699172974,5.0,4,,,,,0.3970795279785343,2.11315655708313,0.2779732346534729,3902,,,,,3312236,
2022-03-23,24,1511.9999195519713,688.3956470489502,,,,,,,0.4905946441460201,1.0566015243530273,0.3088591396808624,1188,,,,,,
2022-03-24,43,1606.3522545953776,1459.387680053711,,,,,,,0.3722094068042842,1.3295778036117554,0.2676779329776764,2532,,,,,936682,336812
2022-03-25,34,1582.8556469594823,1260.556022644043,,,,,,,6.321603524196882,24.383373260498047,0.2573826313018799,2079,,,,,1280524,
2022-03-26,18,1546.8008210408561,632.8758878707886,2.0,2,,,,,0.5734754429081715,1.2879598140716553,0.2985638380050659,995,,,,,628931,
2022-03-27,,1512.0000183999239,,,,,,,,,,,13,,,,,,
2022-03-28,,1512.0000288408332,,,,,,,,,,,21,,,,,,
2022-03-29,50,1578.4348738224376,2304.8592672348022,9.0,7,,,,,0.36941554685299377,2.7360384464263916,0.2573826313018799,3557,,,,,1200631,
